gene_name,glu1,glu2,glu6,glu7,glu11,glu12,gly1,gly2,gly6,gly7,gly11,gly12
ttdA,-1.14456266,-1.14456266,-1.14456266,-0.233394293,-1.14456266,-0.563826259,0.154497435,-1.14456266,-1.14456266,0.261889892,0.400375956,-1.14456266
tufA,12.58745102,12.5624453,12.62587023,12.68555446,12.66820262,12.24751142,11.02316005,11.59005805,11.99633689,11.2274161,11.25249709,10.95373701
tufB,12.35747625,12.23059909,12.3049176,12.233083,12.42801243,11.84520247,10.70233987,11.34341051,11.68013033,10.99505341,11.06093958,10.57814062
tus,2.024617477,1.909674822,1.977337143,1.789321157,2.035469178,2.043940294,1.845238606,0.57980147,1.634841947,2.790871234,0.955758142,0.804561649
tynA,0.169307087,0.490617291,0.328725926,1.322734996,0.104113823,0.810426666,1.845238606,0.10884003,-1.14456266,0.261889892,0.955758142,0.804561649
tyrA,8.073135765,7.208190962,6.682382527,7.009493273,7.420316222,6.979872179,4.242993251,4.457779381,5.495119924,4.416595346,4.421078721,4.843556128
tyrB,6.83049796,6.3109271,5.552058768,5.741333623,6.977378978,5.821266826,5.029750154,5.161448526,5.237798669,4.64835278,4.985947661,4.579816561
tyrP,2.402133773,1.632120246,1.239066079,1.789321157,2.110500387,3.597556698,1.481501414,1.760580758,0.950201861,1.662278962,2.096977156,1.458599818
tyrR,5.442667736,5.273924334,5.737285953,6.1802971,5.580206557,5.378839916,6.027300048,5.533879227,5.171279534,6.074695326,6.196119203,6.167425328
tyrS,6.904946005,6.528459683,6.109108542,6.483685719,6.643533084,6.967935863,5.340276612,5.52251621,5.847250244,5.083882748,5.467161735,4.636565409
ubiA,6.044275751,5.527349373,5.888947885,5.464963238,4.543567227,5.521007473,5.572051643,6.067112588,5.171279534,5.67592496,6.272599074,6.108481238
ubiB,4.776976412,5.527349373,6.043144113,6.348232774,5.693100078,5.798338505,5.31206518,5.52251621,5.713410787,5.813513264,4.699676686,5.024529565
ubiC,5.273120228,4.574672154,4.89194135,4.552313088,3.575295133,4.249454985,4.825356113,4.92298217,4.691039172,4.847963526,4.07540813,4.794527028
ubiD,6.550289854,6.672470851,6.800217866,6.507541025,6.618341491,6.881496395,6.310020505,6.921262018,6.376297014,6.843420598,6.686097094,6.693857625
ubiE,4.797972256,4.995788521,5.339491965,5.587544969,5.102504452,5.017760623,5.162084853,5.301003122,5.171279534,5.662740911,5.15712666,4.691164879
ubiF,4.597001437,4.889726544,4.953099035,5.002004611,4.93914051,4.553326092,5.381585361,5.35325148,4.897193331,5.234063128,4.421078721,4.10412621
ubiG,4.644144788,4.650872841,5.057043491,5.324287126,4.922081529,4.761323234,4.743209479,4.504747228,4.01726939,4.593811949,4.56709718,3.739595723
ubiH,5.49502639,5.344446285,4.953099035,4.968013545,5.63357231,5.299411508,4.976816861,4.658038861,5.125165448,5.370069882,5.390780372,4.890972848
ubiX,1.005901477,2.594274625,1.977337143,1.789321157,2.227319223,2.432507975,1.255666409,2.385922444,2.829743201,2.336112447,1.887696574,1.458599818
ucpA,6.746609585,6.48749845,6.612084032,6.528095652,5.024733472,5.404372908,8.359277251,7.683134649,7.343499509,7.909257789,7.874625134,7.611772306
udhA,6.943134587,7.830694408,7.765682697,8.167724832,6.407809608,7.737192501,7.554464448,8.116246117,7.86220577,8.549931022,8.291778381,8.238700969
udk,2.508531198,2.997317952,2.868616656,3.782259969,3.830870661,4.737408822,1.996751073,2.741810914,2.433038119,2.581544051,2.096977156,0.804561649
udp,8.600834113,8.211662275,7.310618266,7.857873144,7.660341495,6.043906401,6.673707572,6.955462866,6.415136869,6.378727643,7.198478159,6.746354076
ugd,0.658708418,1.777799163,0.626040423,0.780805482,1.353406739,1.686294403,1.845238606,1.181552541,-1.14456266,0.261889892,1.341744444,0.804561649
ugpB,4.85918554,3.054700123,2.918707025,2.562090015,1.928768743,2.120729452,5.434885402,4.957149614,4.066932431,4.062071252,5.965429433,4.794527028
ugpC,2.607531025,2.429952245,2.58789945,2.256535936,2.110500387,2.193556411,2.372776568,2.574940804,3.542781318,2.885061637,3.865501508,2.501831767
ugpE,0.169307087,0.490617291,1.393037856,0.938810998,0.3162332,0.810426666,0.983904798,1.402984775,1.880704813,0.778581957,1.341744444,2.501831767
ugpQ,3.020056016,3.78764548,3.413390689,3.123394332,3.398841768,3.325046846,3.249685166,3.089641103,3.857096996,4.140297819,4.07540813,3.631962725
uhpA,1.005901477,2.141213121,1.878486406,2.417504478,1.548844669,2.017385007,1.675275111,2.28107207,2.433038119,-1.14456266,1.887696574,1.458599818
uhpB,1.005901477,1.909674822,1.531325051,1.322734996,1.353406739,2.26281716,1.255666409,0.57980147,0.950201861,1.42689579,0.400375956,0.804561649
uhpC,2.508531198,2.141213121,2.762849217,2.198546665,2.35586119,2.831082646,2.372776568,2.385922444,0.950201861,1.142112545,1.341744444,1.898039616
uhpT,-1.14456266,0.490617291,1.878486406,1.07954682,0.90863663,0.672123583,1.255666409,0.57980147,1.335513986,0.778581957,2.585564792,-1.14456266
uidA,3.090005404,0.813307996,1.06506632,1.429612449,1.021243697,1.505047819,2.577489015,1.760580758,3.139979739,2.581544051,2.717142687,2.501831767
uidB,0.169307087,0.04093922,1.531325051,0.938810998,0.104113823,0.23446579,1.996751073,2.044750511,1.634841947,1.142112545,1.887696574,0.804561649
uidR,3.601511777,4.144808978,4.87939229,4.457484779,3.786280069,3.716615922,5.31206518,4.594327311,4.869486659,5.00248936,2.948738551,4.636565409
ulaA,0.658708418,0.04093922,-0.081165644,0.124258233,0.104113823,0.336426748,1.255666409,1.760580758,1.335513986,0.778581957,0.400375956,-1.14456266
ulaD,1.50675362,-1.14456266,1.393037856,-1.14456266,1.310709818,0.935052876,0.639427359,1.181552541,1.335513986,1.42689579,0.955758142,-1.14456266
umuC,2.402133773,1.909674822,2.315226014,1.789321157,2.699886861,2.371224964,1.996751073,2.167844039,1.880704813,1.142112545,1.887696574,2.231895253
umuD,-1.14456266,1.069845507,0.328725926,0.59996766,1.221030684,1.101997975,-1.14456266,0.10884003,0.950201861,1.42689579,1.641516703,1.458599818
ung,4.797972256,4.144808978,3.608739568,3.722295367,4.840901474,4.186062945,4.21277922,4.167913085,3.965832754,4.062071252,4.342119852,4.327436117
upp,5.856935371,5.777229285,6.276346128,5.898452476,6.277087282,6.429360016,4.150381458,3.981186599,5.301384668,4.25020836,4.123430944,3.839737144
uppP,4.755670322,5.212401905,4.647431257,5.477096937,4.600441229,5.468717749,3.748448948,3.687314521,3.857096996,3.845618938,3.974275373,4.021274137
uppS,5.641581674,5.643778966,5.567784387,6.334961135,5.886638922,7.185288293,5.511315109,5.464318308,5.215964741,5.17956154,5.246531873,4.18247159
uraA,2.287124403,2.514481243,3.103203875,3.092095514,3.264281934,3.683592143,1.845238606,0.57980147,3.394918736,2.03916712,0.955758142,1.458599818
usg,5.2428183,5.444157374,4.38868146,4.915475797,5.88311779,5.792549025,3.661582857,4.71905375,4.523355236,4.384819231,4.382139907,3.739595723
ushA,4.992655501,4.650872841,4.586966324,4.342769652,4.918645382,4.215223654,4.864738637,4.637112956,3.857096996,4.726480352,5.485641401,4.691164879
uspA,7.71317529,6.412892625,5.818399383,5.751359003,6.780422391,5.963744575,8.059704932,7.457116247,7.312975035,7.418732565,8.400457992,8.192149641
uup,5.49502639,5.819103365,6.693175713,6.474637289,5.625165356,6.122926298,4.84518182,4.833844504,4.897193331,4.751609612,4.667657167,3.250214154
uvrA,7.440298421,7.34632676,7.739889249,8.096766618,7.400749915,7.23095067,8.183590856,8.282074221,7.890044903,8.777952909,7.849877467,7.834224144
uvrB,5.886634934,5.4759193,5.67330998,5.495108223,5.722952583,4.871627621,6.426433335,5.838804605,5.583029683,5.971551565,6.042339894,5.638501087
uvrC,3.396246232,3.821034916,3.909816478,3.801705643,3.867002769,3.80370859,2.372776568,2.044750511,2.271761073,3.280832743,2.948738551,2.92436909
uvrD,5.317411886,5.433412716,5.40223533,5.402714745,6.270364382,5.615857518,5.740276141,5.452391547,5.148406791,5.197958528,5.608766201,4.936879918
uvrY,2.161956914,1.284323171,1.878486406,1.206669469,1.68735496,1.990318907,1.675275111,1.760580758,1.880704813,2.195417295,1.641516703,1.898039616
uxaA,4.014420386,3.214239589,3.725636131,3.403751415,3.548833523,3.092938198,4.412072405,4.905589993,4.48734413,4.062071252,5.0618107,4.691164879
uxaB,1.872409522,1.284323171,1.531325051,1.206669469,1.266618037,1.580428267,2.577489015,1.760580758,2.089747114,0.778581957,2.440603361,0.804561649
uxaC,4.689795299,3.311530153,3.884904066,3.060098585,3.512776654,3.281529775,4.764189033,4.990526226,4.841237185,4.91622588,5.608766201,4.843556128
uxuA,4.445549485,2.997317952,2.967104776,3.502182927,2.492457405,1.962721439,4.272586782,4.527669483,4.206408091,4.319084827,5.448442235,4.021274137
uxuB,3.601511777,2.594274625,3.30476737,3.060098585,2.89508645,2.73734551,4.357887081,4.138424687,4.59278618,3.845618938,5.351017305,4.459142826
